image,condition,classifier,gt_severity,original_pred,adverse_pred,prediction_consistent,original_correct,adverse_correct
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,night,combined,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,fog,depth_based,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,fog,geometry_based,0,2,2,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,fog,combined,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,waterlogged,depth_based,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,waterlogged,geometry_based,0,2,2,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,waterlogged,combined,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,shadow,depth_based,0,1,1,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,shadow,geometry_based,0,2,2,1,0,0
kaggle_pic-157-_jpg.rf.2247b000d655232fbf8a58b5add102ca,shadow,combined,0,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,rain,depth_based,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,rain,combined,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,night,depth_based,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,night,geometry_based,2,2,2,1,1,1
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,night,combined,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,fog,depth_based,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,fog,combined,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-161-_jpg.rf.1cff77d21f54b7ed9234e896abcf0f5b,shadow,combined,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,rain,depth_based,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,rain,combined,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,night,depth_based,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,night,geometry_based,2,2,2,1,1,1
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,night,combined,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,fog,depth_based,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,fog,combined,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-165-_jpg.rf.82b3db37518b15aa73be6e4093deaf46,shadow,combined,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,rain,depth_based,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,rain,combined,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,night,depth_based,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,night,geometry_based,2,2,2,1,1,1
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,night,combined,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,fog,depth_based,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,fog,combined,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-17-_jpg.rf.0d172b6accedf4c52a3868d9b690d48b,shadow,combined,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,rain,depth_based,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,rain,combined,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,night,depth_based,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,night,geometry_based,2,2,2,1,1,1
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,night,combined,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,fog,depth_based,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,fog,geometry_based,2,2,2,1,1,1
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,fog,combined,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,waterlogged,depth_based,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,waterlogged,geometry_based,2,2,2,1,1,1
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,waterlogged,combined,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,shadow,depth_based,2,1,1,1,0,0
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,shadow,geometry_based,2,2,2,1,1,1
kaggle_pic-173-_jpg.rf.73512294c1b7b5c500eac27a0fb669f7,shadow,combined,2,1,1,1,0,0
kaggle_pic-175-_jpg.rf.9fc746d4865c11f38047cf383baa30a6,rain,depth_based,2,1,1,1,0,0
kaggle_pic-175-_jpg.rf.9fc746d4865c11f38047cf383baa30a6,rain,geometry_based,2,2,2,1,1,1
kaggle_pic-175-_jpg.rf.9fc746d4865c11f38047cf383baa30a6,rain,combined,2,1,1,1,0,0
kaggle_pic-175-_jpg.rf.9fc746d4865c11f38047cf383baa30a6,night,depth_based,2,1,1,1,0,0
kaggle_pic-175-_jpg.rf.9fc746d4865c11f38047cf383baa30a6,night,geometry_based,2,2,2,1,1,1
